"processor_id","processor_name","processor_code","processor_release_date","cores","threads","max_turbo_freq","base_freq","integrated_graphics_flag","processor_amount","processor_status"
"1","Core 3 100U","Raptor Lake","Q1'24","6","8","4.7","1.2","Intel Graphics","436","Launched"
"2","Core 3 100U (with IPU)","Raptor Lake","Q1'24","6","8","4.7","1.2","Intel Graphics","793","Launched"
"3","Core 5 120U","Raptor Lake","Q1'24","10","12","5","1.4","Intel Graphics","434","Launched"
"4","Core 7 150U","Raptor Lake","Q1'24","10","12","5.4","1.8","Intel Graphics","352","Launched"
"5","Core i9-14900KS","Raptor Lake","Q1'24","24","32","6.2","3.2","Intel UHD Graphics 770","776","Launched"
"6","Core i9-14900","Raptor Lake","Q1'24","24","32","5.8","2","Intel UHD Graphics 770","895","Launched"
"7","Core i9-14900F","Raptor Lake","Q1'24","24","32","5.8","2","N/A","333","Launched"
"8","Core i9-14900HX","Raptor Lake","Q1'24","24","32","5.8","2.2","Intel UHD Graphics for 14th Gen Intel Processors","353","Launched"
"9","Core i9-14900T","Raptor Lake","Q1'24","24","32","5.5","1.1","Intel UHD Graphics 770","852","Launched"
"10","Core i9-14900K","Raptor Lake","Q4'23","24","32","6","2.4","Intel UHD Graphics 770","577","Launched"
"11","Core i9-14900KF","Raptor Lake","Q4'23","24","32","6","2.4","N/A","650","Launched"
"12","Core i7-14650HX","Raptor Lake","Q1'24","16","24","5.2","2.2","Intel UHD Graphics for 14th Gen Intel Processors","671","Launched"
"13","Core i7-14700","Raptor Lake","Q1'24","20","28","5.4","2.1","Intel UHD Graphics 770","325","Launched"
"14","Core i7-14700F","Raptor Lake","Q1'24","20","28","5.4","2.1","N/A","340","Launched"
"15","Core i7-14700HX","Raptor Lake","Q1'24","20","28","5.5","2.1","N/A","845","Launched"
"16","Core i7-14700T","Raptor Lake","Q1'24","20","28","5.2","1.3","Intel UHD Graphics 770","699","Launched"
"17","Core i7-14700K","Raptor Lake","Q4'23","20","28","5.6","3.4","Intel UHD Graphics 770","899","Launched"
"18","Core i7-14700KF","Raptor Lake","Q4'23","20","28","5.6","3.4","N/A","757","Launched"
"19","Core i5-14400","Raptor Lake","Q1'24","10","16","4.7","1.8","Intel UHD Graphics 730","712","Launched"
"20","Core i5-14400F","Raptor Lake","Q1'24","10","16","4.7","1.8","N/A","340","Launched"
"21","Core i5-14400T","Raptor Lake","Q1'24","10","16","4.5","1.5","Intel UHD Graphics 730","586","Launched"
"22","Core i5-14450HX","Raptor Lake","Q1'24","10","16","4.8","2.4","Intel UHD Graphics for 14th Gen Intel Processors","430","Launched"
"23","Core i5-14500","Raptor Lake","Q1'24","14","20","5","2.6","Intel UHD Graphics 770","534","Launched"
"24","Core i5-14500HX","Raptor Lake","Q1'24","14","20","4.9","2.6","Intel UHD Graphics for 14th Gen Intel Processors","672","Launched"
"25","Core i5-14500T","Raptor Lake","Q1'24","14","20","4.8","1.7","Intel UHD Graphics 770","802","Launched"
"26","Core i5-14600","Raptor Lake","Q1'24","14","20","5.2","2.4","Intel UHD Graphics 770","694","Launched"
"27","Core i5-14600T","Raptor Lake","Q1'24","14","20","5.1","1.8","Intel UHD Graphics 770","311","Launched"
"28","Core i5-14600K","Raptor Lake","Q4'23","14","20","5.3","3.5","Intel UHD Graphics 770","378","Launched"
"29","Core i5-14600KF","Raptor Lake","Q4'23","14","20","5.3","3.5","N/A","468","Launched"
"30","Core i3-14100","Raptor Lake","Q1'24","4","8","4.7","3.5","Intel UHD Graphics 730","898","Launched"
"31","Core i3-14100F","Raptor Lake","Q1'24","4","8","4.7","3.5","N/A","599","Launched"
"32","Core i3-14100T","Raptor Lake","Q1'24","4","8","4.4","2.4","Intel UHD Graphics 730","401","Launched"
"33","Core i9-13900KS","Raptor Lake","Q1'23","24","32","6","3.2","Intel UHD Graphics 770","403","Launched"
"34","Core i9-13900","Raptor Lake","Q1'23","24","32","5.6","2","Intel UHD Graphics 770","619","Launched"
"35","Core i9-13900E","Raptor Lake","Q1'23","24","32","5.2","1.8","Intel UHD Graphics 770","735","Launched"
"36","Core i9-13900F","Raptor Lake","Q1'23","24","32","5.6","2","N/A","839","Launched"
"37","Core i9-13900H","Raptor Lake","Q1'23","14","20","5.4","N/A","Intel Iris Xe Graphics","809","Launched"
"38","Core i9-13900HK","Raptor Lake","Q1'23","14","20","5.4","N/A","Intel Iris Xe Graphics","621","Launched"
"39","Core i9-13900HX","Raptor Lake","Q1'23","24","32","5.4","N/A","Intel UHD Graphics for 13th Gen Intel Processors","449","Launched"
"40","Core i9-13900T","Raptor Lake","Q1'23","24","32","5.3","1.1","Intel UHD Graphics 770","355","Launched"
"41","Core i9-13900TE","Raptor Lake","Q1'23","24","32","5","1","Intel UHD Graphics 770","665","Launched"
"42","Core i9-13905H","Raptor Lake","Q1'23","14","20","5.4","N/A","Intel Iris Xe Graphics","591","Launched"
"43","Core i9-13950HX","Raptor Lake","Q1'23","24","32","5.5","N/A","Intel UHD Graphics for 13th Gen Intel Processors","836","Launched"
"44","Core i9-13980HX","Raptor Lake","Q1'23","24","32","5.6","N/A","Intel UHD Graphics for 13th Gen Intel Processors","391","Launched"
"45","Core i9-13900K","Raptor Lake","Q4'22","24","32","5.8","3","Intel UHD Graphics 770","769","Launched"
"46","Core i9-13900KF","Raptor Lake","Q4'22","24","32","5.8","3","N/A","890","Launched"
"47","Core i7-1355U","Raptor Lake","Q1'23","10","12","5","N/A","Intel Iris Xe Graphics","460","Launched"
"48","Core i7-1360P","Raptor Lake","Q1'23","12","16","5","N/A","Intel Iris Xe Graphics","486","Launched"
"49","Core i7-13620H","Raptor Lake","Q1'23","10","16","4.9","N/A","Intel UHD Graphics for 13th Gen Intel Processors","618","Launched"
"50","Core i7-13650HX","Raptor Lake","Q1'23","14","20","4.9","N/A","Intel UHD Graphics for 13th Gen Intel Processors","544","Launched"
"51","Core i7-1365U","Raptor Lake","Q1'23","10","12","5.2","N/A","Intel Iris Xe Graphics","624","Launched"
"52","Core i7-1365UE","Raptor Lake","Q1'23","10","12","4.9","1.7","Intel Iris Xe Graphics","894","Launched"
"53","Core i7-13700","Raptor Lake","Q1'23","16","24","5.2","2.1","Intel UHD Graphics 770","502","Launched"
"54","Core i7-13700E","Raptor Lake","Q1'23","16","24","5.1","1.9","Intel UHD Graphics 770","481","Launched"
"55","Core i7-13700F","Raptor Lake","Q1'23","16","24","5.2","2.1","N/A","655","Launched"
"56","Core i7-13700H","Raptor Lake","Q1'23","14","20","5","N/A","Intel Iris Xe Graphics","455","Launched"
